Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
55816	DOK5	docking protein 5	NM_018431	NP_060901.2	ENSG00000101134	chr20:52525892 - 52700425	insulin receptor binding	Protein Kinase
84444	DOT1L	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	NM_032482	NP_115871.1	ENSG00000104885	chr19:2115183 - 2180791	chromatin modification;histone-lysine N-methyltransferase activity;methyltransferase activity;nucleus;transferase activity	Tumor Suppressor
5977	DPF2	D4, zinc and double PHD fingers family 2	NM_006268	NP_006259.1	ENSG00000133884	chr11:64857933 - 64875806	apoptosis;induction of apoptosis by extracellular signals;intracellular;metal ion binding;nucleic acid binding;nucleus;protein binding;regulation of transcription, DNA-dependent;transcription;zinc ion binding	TNF_alpha_NF_kB
1801	DPH1	DPH1 homolog (S. cerevisiae)	NM_001383	NP_001374.3	ENSG00000108963	chr17:1880198 - 1891901	translation	Tumor Suppressor
8818	DPM2	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	NM_003863	NP_003854.1	ENSG00000136908	chr9:129737821 - 129739920	endoplasmic reticulum;endoplasmic reticulum membrane;glycosylphosphatidylinositol-N-acetylglucosaminyltransferase (GPI-GnT) complex;GPI anchor biosynthetic process;integral to endoplasmic reticulum membrane;integral to membrane;macromolecule biosynthetic process;mannosyltransferase complex;membrane;protein amino acid C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan;protein amino acid O-linked mannosylation;protein binding	Stability
54344	DPM3	dolichyl-phosphate mannosyltransferase polypeptide 3	NM_018973	NP_714963.1	ENSG00000179085	chr1:153379061 - 153379430	carbohydrate metabolic process;endoplasmic reticulum;endoplasmic reticulum membrane;GPI anchor biosynthetic process;integral to membrane;mannosyltransferase complex;membrane;protein amino acid C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan;protein amino acid O-linked mannosylation;protein binding	Stability
1803	DPP4	dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2)	NM_001935	NP_001926.2	ENSG00000197635	chr2:162558038 - 162638737	aminopeptidase activity;dipeptidyl-peptidase IV activity;immune response;integral to membrane;membrane;prolyl oligopeptidase activity;proteolysis	Tumor Suppressor
55332	DRAM	-	NM_018370	NP_060840.2	ENSG00000136048	chr12:100795698 - 100839169		Tumor Suppressor
1812	DRD1	dopamine receptor D1	NM_000794	NP_000785.1	ENSG00000184845	chr5:174801367 - 174802708	adenylate cyclase activation;cell;dopamine D1 receptor activity;dopamine receptor activity;dopamine receptor, adenylate cyclase activating pathway;elevation of cytosolic calcium ion concentration;G-protein signaling, coupled to cyclic nucleotide second messenger;integral to plasma membrane;locomotory behavior;mating behavior;membrane fraction;nervous system development;plasma membrane;receptor activity;response to drug;rhodopsin-like receptor activity;signal transduction;synaptic transmission	Protein Kinase
1813	DRD2	dopamine receptor D2	NM_016574, NM_000795	NP_057658.2, NP_000786.1	ENSG00000149295	chr11:112786658 - 112800583	dopamine receptor activity;dopamine receptor, adenylate cyclase inhibiting pathway;G-protein coupled receptor protein signaling pathway;integral to membrane;integral to plasma membrane;intermediate filament;membrane;nervous system development;plasma membrane;receptor activity;rhodopsin-like receptor activity;signal transduction;synaptic transmission	Protein Kinase,  Stability
1814	DRD3	dopamine receptor D3	NM_000796, NM_033663	NP_000787.2, NP_387512.3	ENSG00000151577	chr3:115330252 - 115373529	behavior;dopamine receptor activity;dopamine receptor signaling pathway;integral to plasma membrane;plasma membrane;receptor activity;rhodopsin-like receptor activity;signal transduction;synaptic transmission	Protein Kinase,  Stability
4733	DRG1	developmentally regulated GTP binding protein 1	NM_004147	NP_004138.1	ENSG00000185721	chr22:30125669 - 30159957	GTP binding;intracellular;multicellular organismal development;nucleotide binding;transcription;transcription factor binding	Tumor Suppressor
1832	DSP	desmoplakin	NM_004415, NM_001008844	NP_004406.2, NP_001008844.1	ENSG00000096696	chr6:7487147 - 7531110	basolateral plasma membrane;cell-cell adherens junction;cornified envelope;desmosome;epidermis development;intermediate filament;keratinocyte differentiation;mitochondrion;peptide cross-linking;protein binding, bridging;structural constituent of cytoskeleton	Alpha6Beta4 Integrin
667	DST	dystonin	NM_015548, NM_183380, NM_001723, NM_020388	NP_056363.2, NP_899236.1, NP_001714.1, NP_065121.2	ENSG00000151914	chr6:56431761 - 56815902	actin binding;actin cytoskeleton organization and biogenesis;actin filament binding;basement membrane;calcium ion binding;cell adhesion;cell cycle arrest;cytoplasm;cytoplasmic membrane-bound vesicle;cytoskeleton;cytoskeleton organization and biogenesis;extracellular space;hemidesmosome;integrin binding;integrin-mediated signaling pathway;intercellular junction;intermediate filament cytoskeleton organization and biogenesis;protein binding;protein C-terminus binding;structural constituent of cytoskeleton	Alpha6Beta4 Integrin
51514	DTL	denticleless homolog (Drosophila)	NM_016448	NP_057532.2	ENSG00000143476	chr1:210275855 - 210342905	DNA replication;nucleus;protein binding;response to DNA damage stimulus;ubiquitin cycle	Stability
1840	DTX1	deltex homolog 1 (Drosophila)	NM_004416	NP_004407.2	ENSG00000135144	chr12:111980380 - 112019127	cytoplasm;glial cell differentiation;metal ion binding;negative regulation of neuron differentiation;Notch binding;protein binding;regulation of Notch signaling pathway;transcription coactivator activity;transcription from RNA polymerase II promoter;transcription regulator activity;zinc ion binding	NOTCH
338599	DUPD1	dual specificity phosphatase and pro isomerase domain containing 1	NM_001003892	NP_001003892.1	ENSG00000188716	chr10:76467599 - 76488278	hydrolase activity;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
1843	DUSP1	dual specificity phosphatase 1	NM_004417	NP_004408.1	ENSG00000120129	chr5:172128370 - 172130561	cell cycle;hydrolase activity;MAP kinase phosphatase activity;non-membrane spanning protein tyrosine phosphatase activity;protein amino acid dephosphorylation;protein binding;response to oxidative stress	EGFR1,  Phosphatase,  Stability
11221	DUSP10	dual specificity phosphatase 10	NM_007207, NM_144729	NP_009138.1, NP_653330.1	ENSG00000143507	chr1:219942376 - 219979709	cytoplasm;hydrolase activity;JNK cascade;MAP kinase phosphatase activity;nucleus;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;response to stress	Phosphatase
11266	DUSP12	dual specificity phosphatase 12	NM_007240	NP_009171.1	ENSG00000081721	chr1:159986215 - 159993361	hydrolase activity;intracellular;metal ion binding;nucleic acid binding;nucleus;protein amino acid dephosphorylation;protein modification process;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;zinc ion binding	Phosphatase
51207	DUSP13	dual specificity phosphatase 13	NM_001007271, NM_001007273	NP_001007272.1, NP_057448.3	ENSG00000079393	chr10:76524439 - 76533840	hydrolase activity;meiosis;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;spermatogenesis	Phosphatase
11072	DUSP14	dual specificity phosphatase 14	NM_007026	NP_008957.1	ENSG00000161326	chr17:32946487 - 32947084	hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
128853	DUSP15	dual specificity phosphatase 15	NM_177991	NP_817130.1	ENSG00000149599	chr20:29912866 - 29921801	hydrolase activity;membrane;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
80824	DUSP16	dual specificity phosphatase 16	NM_030640	NP_085143.1	ENSG00000111266	chr12:12521033 - 12565299	cytoplasm;hydrolase activity;inactivation of MAPK activity;MAP kinase phosphatase activity;MAPK export from nucleus;MAPK phosphatase export from nucleus, leptomycin B sensitive;nucleus;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
150290	DUSP18	dual specificity phosphatase 18	NM_152511	NP_689724.3	ENSG00000167065	chr22:29389423 - 29389990	hydrolase activity;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
142679	DUSP19	dual specificity phosphatase 19	NM_080876	NP_543152.1	ENSG00000162999	chr2:183651906 - 183668631	hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
1844	DUSP2	dual specificity phosphatase 2	NM_004418	NP_004409.1	ENSG00000158050	chr2:96173288 - 96174820	hydrolase activity;inactivation of MAPK activity;MAP kinase phosphatase activity;mitogen-activated protein kinase binding;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/threonine phosphatase activity	Phosphatase,  Protein Kinase
63904	DUSP21	dual specificity phosphatase 21	NM_022076	NP_071359.2	ENSG00000189037	chrX:44588322 - 44588895	cytoplasm;hydrolase activity;nucleus;protein amino acid dephosphorylation;protein kinase activity;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;signal transduction	Phosphatase,  Protein Kinase
56940	DUSP22	dual specificity phosphatase 22	NM_020185	NP_064570.1	ENSG00000112679	chr6:237539 - 295868	apoptosis;hydrolase activity;inactivation of MAPK activity;multicellular organismal development;nucleus;positive regulation of JNK cascade;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity;regulation of cell proliferation;transforming growth factor beta receptor signaling pathway	Phosphatase
78986	DUSP26	dual specificity phosphatase 26 (putative)	NM_024025	NP_076930.1	ENSG00000133878	chr8:33569072 - 33574575	hydrolase activity;kinase activity;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
92235	DUSP27	dual specificity phosphatase 27 (putative)	NM_001080426	NP_001073895.1	ENSG00000198842	chr1:165330710 - 165364469	phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
285193	DUSP28	dual specificity phosphatase 28	NM_001033575	NP_001028747.1	ENSG00000188542	chr2:241148774 - 241149557	phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
1845	DUSP3	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	NM_004090	NP_004081.1	ENSG00000108861	chr17:39202502 - 39211818	hydrolase activity;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/serine/threonine phosphatase activity	Phosphatase
1846	DUSP4	dual specificity phosphatase 4	NM_001394, NM_057158	NP_001385.1, NP_476499.1	ENSG00000120875	chr8:29250461 - 29263714	hydrolase activity;MAP kinase phosphatase activity;MAPKKK cascade;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity;protein tyrosine/threonine phosphatase activity;regulation of progression through cell cycle	Phosphatase
1847	DUSP5	dual specificity phosphatase 5	NM_004419	NP_004410.3	ENSG00000138166	chr10:112247869 - 112260174	hydrolase activity;MAP kinase phosphatase activity;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
1848	DUSP6	dual specificity phosphatase 6	NM_022652, NM_001946	NP_073143.2, NP_001937.2	ENSG00000139318	chr12:88267161 - 88269947	cytoplasm;hydrolase activity;inactivation of MAPK activity;MAP kinase phosphatase activity;protein amino acid dephosphorylation;protein serine/threonine phosphatase activity;protein tyrosine phosphatase activity;regulation of progression through cell cycle;soluble fraction	Phosphatase,  Tumor Suppressor
1849	DUSP7	dual specificity phosphatase 7	NM_001947	NP_001938.1	ENSG00000164086	chr3:52059870 - 52065269	hydrolase activity;MAP kinase phosphatase activity;protein amino acid dephosphorylation;protein serine/threonine phosphatase activity;protein tyrosine phosphatase activity	Phosphatase
1850	DUSP8	dual specificity phosphatase 8	NM_004420	NP_004411.2	ENSG00000184545	chr11:1534323 - 1543632	cytoplasm;hydrolase activity;inactivation of MAPK activity;MAP kinase phosphatase activity;nucleus;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
1852	DUSP9	dual specificity phosphatase 9	NM_001395	NP_001386.1	ENSG00000130829	chrX:152566601 - 152568954	cytoplasm;hydrolase activity;inactivation of MAPK activity;JNK cascade;MAP kinase phosphatase activity;nucleus;phosphoric monoester hydrolase activity;protein amino acid dephosphorylation;protein tyrosine phosphatase activity	Phosphatase
1855	DVL1	dishevelled, dsh homolog 1 (Drosophila)	NM_004421	NP_004412.2	ENSG00000107404	chr1:1261384 - 1274308	anatomical structure morphogenesis;cytoplasm;heart development;intracellular;intracellular signaling cascade;molecular_function;multicellular organismal development;protein binding;signal transducer activity;Wnt receptor signaling pathway	TGFBR,  Wnt
1856	DVL2	dishevelled, dsh homolog 2 (Drosophila)	NM_004422	NP_004413.1	ENSG00000004975	chr17:7069907 - 7078305	cytoplasm;identical protein binding;imaginal disc pattern formation;intracellular;intracellular signaling cascade;multicellular organismal development;signal transducer activity;Wnt receptor signaling pathway	Wnt
1857	DVL3	dishevelled, dsh homolog 3 (Drosophila)	NM_004423	NP_004414.3	ENSG00000161202	chr3:185356117 - 185371237	heart development;intracellular;intracellular signaling cascade;kinase activity;multicellular organismal development;nervous system development;protein binding;signal transducer activity;Wnt receptor signaling pathway	Wnt
8655	DYNLL1	dynein, light chain, LC8-type 1	NM_003746	NP_003737.1	ENSG00000088986	chr12:119418607 - 119420396	actin cytoskeleton organization and biogenesis;anatomical structure morphogenesis;cytoplasm;cytoplasmic dynein complex;female gamete generation;microtubule;microtubule motor activity;microtubule-based process;protein binding	Stability
1859	DYRK1A	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	NM_130437, NM_130438, NM_001396, NM_101395, NM_130436	NP_569121.1, NP_569122.1, NP_001387.2, NP_567824.1, NP_569120.1	ENSG00000157540	chr21:37714546 - 37806704	ATP binding;kinase activity;nervous system development;non-membrane spanning protein tyrosine kinase activity;nuclear speck;nucleotide binding;nucleus;peptidyl-tyrosine phosphorylation;protein amino acid autophosphorylation;protein self-association;protein serine/threonine kinase activity;transferase activity	Hedgehog,  Protein Kinase,  Stability
